submission_id,question,response1,startDate,comment,experiment_id,group,question1,optionRight,response4,id,question_right_part,question4,option4,expected,option2,option3,option1,endTime,optionLeft,question_left_part,age,response,comments,response3,education,QUD,languages,prolific_id,RT,gender,trial_number,startTime,picture,cost,option7,question3,timeSpent,option5,question2,response2,option6,trial_name
1263,NA,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,not-red-yellow,.,NA,both blocks fall,"the yellow block falls, but not the red","the yellow block falls, but not the red",none of the two blocks falls,"the red block falls, but not the yellow",1606932370176,NA,The icon represents the event that,46,the,NA,NA,Graduated College,What event does this icon represent?,English,5ba6d33077f30d00014fe202,8021,female,1,1606930214235,stimuli/img/icons/not-red-yellow.png,NA,NA,NA,35.93235,NA,NA,NA,NA,attention_check2
1263,NA,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,not-yellow-red,.,NA,none of the two blocks falls,"the red block falls, but not the yellow",both blocks fall,"the yellow block falls, but not the red","the red block falls, but not the yellow",1606932370176,NA,The icon represents the event that,46,the,NA,NA,Graduated College,What event does this icon represent?,English,5ba6d33077f30d00014fe202,4478,female,2,1606930214235,stimuli/img/icons/red-not-yellow.png,NA,NA,NA,35.93235,NA,NA,NA,NA,attention_check2
1263,NA,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,red-yellow,.,NA,both blocks fall,both blocks fall,"the red block falls, but not the yellow","the yellow block falls, but not the red",none of the two blocks falls,1606932370176,NA,The icon represents the event that,46,both,NA,NA,Graduated College,What event does this icon represent?,English,5ba6d33077f30d00014fe202,6382,female,3,1606930214235,stimuli/img/icons/red-yellow.png,NA,NA,NA,35.93235,NA,NA,NA,NA,attention_check2
1263,The sliders represent the beliefs of a person who <br/><b>thinks that yellow falls but probably not red.</b>,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,slider_choice_yes5,NA,NA,NA,yes,no,NA,yes,1606932370176,NA,NA,46,yes,NA,NA,Graduated College,Please click on the button with the correct answer.,English,5ba6d33077f30d00014fe202,37319,female,1,1606930214235,stimuli/img/slider-choices/yellow-probably-not-red.png,NA,NA,NA,35.93235,NA,NA,NA,NA,slider_choice_training
1263,The sliders represent the beliefs of a person who <br/><b>is very confident that either both or neither of the two blocks fall <br/>and neither is rated as more likely.</b>,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,slider_choice_no0,NA,NA,NA,no,no,NA,yes,1606932370176,NA,NA,46,yes,NA,NA,Graduated College,Please click on the button with the correct answer.,English,5ba6d33077f30d00014fe202,19774,female,2,1606930214235,stimuli/img/slider-choices/both-or-none-probably-both-not0.png,NA,NA,NA,35.93235,NA,NA,NA,NA,slider_choice_training
1263,The sliders represent the beliefs of a person who <br/><b>thinks that either both or neither of the two blocks fall <br/>and neither is rated as more likely.</b>,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,slider_choice_yes2,NA,NA,NA,yes,no,NA,yes,1606932370176,NA,NA,46,no,NA,NA,Graduated College,Please click on the button with the correct answer.,English,5ba6d33077f30d00014fe202,26689,female,3,1606930214235,stimuli/img/slider-choices/both-or-none-rather-none.png,NA,NA,NA,35.93235,NA,NA,NA,NA,slider_choice_training
1263,The sliders represent the beliefs of a person who <br/><b>thinks that yellow falls and tends to think that red falls as well.</b>,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,slider_choice_yes6,NA,NA,NA,yes,no,NA,yes,1606932370176,NA,NA,46,yes,NA,NA,Graduated College,Please click on the button with the correct answer.,English,5ba6d33077f30d00014fe202,14085,female,4,1606930214235,stimuli/img/slider-choices/yellow-probably-red.png,NA,NA,NA,35.93235,NA,NA,NA,NA,slider_choice_training
1263,The sliders represent the beliefs of a person who <br/><b>is pretty certain that the yellow block falls but not the red.</b>,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,slider_choice_yes3,NA,NA,NA,yes,no,NA,yes,1606932370176,NA,NA,46,yes,NA,NA,Graduated College,Please click on the button with the correct answer.,English,5ba6d33077f30d00014fe202,7212,female,5,1606930214235,stimuli/img/slider-choices/probably-yellow-but-not-red.png,NA,NA,NA,35.93235,NA,NA,NA,NA,slider_choice_training
1263,The sliders represent the beliefs of a person who <br/><b>is pretty certain that the yellow block falls but not the red.</b>,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,slider_choice_no1,NA,NA,NA,no,no,NA,yes,1606932370176,NA,NA,46,no,NA,NA,Graduated College,Please click on the button with the correct answer.,English,5ba6d33077f30d00014fe202,6852,female,6,1606930214235,stimuli/img/slider-choices/probably-red-but-not-yellow.png,NA,NA,NA,35.93235,NA,NA,NA,NA,slider_choice_training
1263,The sliders represent the beliefs of a person who <br/><b>thinks that either both blocks or neither of the two blocks fall.,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,slider_choice_yes1,NA,NA,NA,yes,no,NA,yes,1606932370176,NA,NA,46,yes,NA,NA,Graduated College,Please click on the button with the correct answer.,English,5ba6d33077f30d00014fe202,5668,female,7,1606930214235,stimuli/img/slider-choices/both-or-none.png,NA,NA,NA,35.93235,NA,NA,NA,NA,slider_choice_training
1263,The sliders represent the beliefs of a person who <br/><b>thinks that yellow falls but is uncertain whether or not red falls.</b>,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,slider_choice_yes4,NA,NA,NA,yes,no,NA,yes,1606932370176,NA,NA,46,yes,NA,NA,Graduated College,Please click on the button with the correct answer.,English,5ba6d33077f30d00014fe202,7830,female,8,1606930214235,stimuli/img/slider-choices/yellow-maybe-red.png,NA,NA,NA,35.93235,NA,NA,NA,NA,slider_choice_training
1263,The sliders represent the beliefs of a person who <br/><b>is very confident that yellow falls but is uncertain whether or not red falls.</b>,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,slider_choice_no2,NA,NA,NA,no,no,NA,yes,1606932370176,NA,NA,46,yes,NA,NA,Graduated College,Please click on the button with the correct answer.,English,5ba6d33077f30d00014fe202,5212,female,9,1606930214235,stimuli/img/slider-choices/red-maybe-yellow.png,NA,NA,NA,35.93235,NA,NA,NA,NA,slider_choice_training
1263,The sliders represent the beliefs of a person who <br/><b>is <b>completely uncertain</b> whether the blocks fall.,NA,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,NA,NA,NA,slider_choice_yes0,NA,NA,NA,yes,no,NA,yes,1606932370176,NA,NA,46,no,NA,NA,Graduated College,Please click on the button with the correct answer.,English,5ba6d33077f30d00014fe202,7613,female,10,1606930214235,stimuli/img/slider-choices/all-equal.png,NA,NA,NA,35.93235,NA,NA,NA,NA,slider_choice_training
1263,NA,0,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,ry,certain,0,ind0,NA,none,NA,r,NA,NA,NA,1606932370176,impossible,NA,46,0|100|0|0,NA,0,Graduated College,Please indicate how likely you think the shown events will occur. Click on RUN to see!,English,5ba6d33077f30d00014fe202,309343,female,1,1606930214235,NA,NA,NA,y,35.93235,NA,r,100,NA,animation_slider
1263,NA,0,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,ry,certain,0,ac2,NA,none,NA,ry,NA,NA,NA,1606932370176,impossible,NA,46,0|0|100|0,NA,100,Graduated College,Please indicate how likely you think the shown events will occur. Click on RUN to see!,English,5ba6d33077f30d00014fe202,31849,female,2,1606930214235,NA,NA,NA,y,35.93235,NA,r,0,NA,animation_slider
1263,NA,100,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,ry,certain,0,uncertain1,NA,none,NA,r,NA,NA,NA,1606932370176,impossible,NA,46,100|0|0|0,NA,0,Graduated College,Please indicate how likely you think the shown events will occur. Click on RUN to see!,English,5ba6d33077f30d00014fe202,33470,female,3,1606930214235,NA,NA,NA,y,35.93235,NA,r,0,NA,animation_slider
1263,NA,100,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,ry,certain,0,distance0,NA,none,NA,r,NA,NA,NA,1606932370176,impossible,NA,46,100|0|0|0,NA,0,Graduated College,Please indicate how likely you think the shown events will occur. Click on RUN to see!,English,5ba6d33077f30d00014fe202,28860,female,4,1606930214235,NA,NA,NA,y,35.93235,NA,r,0,NA,animation_slider
1263,NA,100,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,ry,certain,0,distance1,NA,none,NA,y,NA,NA,NA,1606932370176,impossible,NA,46,100|0|0|0,NA,0,Graduated College,Please indicate how likely you think the shown events will occur. Click on RUN to see!,English,5ba6d33077f30d00014fe202,33128,female,5,1606930214235,NA,NA,NA,y,35.93235,NA,r,0,NA,animation_slider
1263,NA,67,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,ry,certain,0,ac1,NA,none,NA,y,NA,NA,NA,1606932370176,impossible,NA,46,67|0|33|0,NA,33,Graduated College,Please indicate how likely you think the shown events will occur. Click on RUN to see!,English,5ba6d33077f30d00014fe202,59674,female,6,1606930214235,NA,NA,NA,y,35.93235,NA,r,0,NA,animation_slider
1263,NA,57,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,ry,certain,14,uncertain3,NA,none,NA,y,NA,NA,NA,1606932370176,impossible,NA,46,57|14|14|14,NA,14,Graduated College,Please indicate how likely you think the shown events will occur. Click on RUN to see!,English,5ba6d33077f30d00014fe202,38400,female,7,1606930214235,NA,NA,NA,y,35.93235,NA,r,14,NA,animation_slider
1263,NA,25,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,ry,certain,0,ind1,NA,none,NA,ry,NA,NA,NA,1606932370176,impossible,NA,46,25|75|0|0,NA,0,Graduated College,Please indicate how likely you think the shown events will occur. Click on RUN to see!,English,5ba6d33077f30d00014fe202,36211,female,8,1606930214235,NA,NA,NA,y,35.93235,NA,r,75,NA,animation_slider
1263,NA,33,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,ry,certain,0,ac3,NA,none,NA,none,NA,NA,NA,1606932370176,impossible,NA,46,33|33|33|0,NA,33,Graduated College,Please indicate how likely you think the shown events will occur. Click on RUN to see!,English,5ba6d33077f30d00014fe202,44589,female,9,1606930214235,NA,NA,NA,y,35.93235,NA,r,33,NA,animation_slider
1263,NA,0,Wed Dec 02 2020 17:30:14 GMT+0000 (Greenwich Mean Time),NA,50,NA,ry,certain,50,uncertain2,NA,none,NA,r,NA,NA,NA,1606932370176,impossible,NA,46,0|0|50|50,NA,50,Graduated College,Please indicate how likely you think the shown events will occur. Click on RUN to see!,English,5ba6d33077f30d00014fe202,43090,female,10,1606930214235,NA,NA,NA,y,35.93235,NA,r,0,NA,animation_slider
